lon_dec,lat_dec,Name,Description
-118.540083333333,33.7466,A01,Sample time: 2023/03/07 11:45am Depth: 2290 ft
-118.48475,33.7198333333333,A02,Sample time: 2023/03/07 13:28 Depth: 2490 ft
-118.435783333333,33.6945833333333,A03,Sample time: 2023/03/07 15:00 Depth: 2280 ft
-118.375133333333,33.6665833333333,A04,Sample time: 2023/03/07 15:52 Depth: 2469 ft
-118.331883333333,33.6457666666667,A05,Sample time: 2023/03/06 7:22 Depth: 2291 ft
-118.5424,33.7021,A06,Sample time: 2023/03/07 10:53 Depth: 2638 ft
-118.486183333333,33.6757833333333,A07,Sample time: 2023/03/07 9:17 Depth: 2770 ft
-118.43275,33.65075,A08,Sample time: 2023/03/07 7:48 Depth: 2845 ft
-118.3767,33.6231833333333,A09,Sample time: 2023/03/08 7:45 Depth: 2710 ft
-118.542083333333,33.6509166666667,A10,Sample time: 2023/03/07 9:53 Depth: 2786 ft
-118.486,33.6266333333333,A11,Sample time: 2023/03/08 14:22 Depth: 2897 ft
-118.432766666667,33.6016166666667,A12,Sample time: 2023/03/06 15:45 Depth: 2903 ft
-118.377666666667,33.5741,A13,Sample time: 2023/03/06 8:25 Depth: 2931 ft
-118.3169,33.5467333333333,A14,Sample time: 2023/03/06 14:21 Depth: 2862 ft
-118.540183333333,33.6074833333333,A15,Sample time: 2023/03/08 13:24 Depth: 2931 ft
-118.484416666667,33.58125,A16,Sample time: 2023/03/08 15:17 Depth: 2931 ft
-118.438866666667,33.5574333333333,A17,Sample time: 2023/03/08 9:03 Depth: 2945 ft
-118.378133333333,33.5309,A18,Sample time: 2023/03/06 9:31 Depth: 2945 ft
-118.31705,33.5032666666667,A19,Sample time: 2023/03/06 13:30 Depth: 2867 ft
-118.5432,33.5615333333333,A20,Sample time: 2023/03/08 11:13 Depth: 2938 ft
-118.490316666667,33.5369166666667,A21,Sample time: 2023/03/08 10:04 Depth: 2945 ft
-118.43515,33.5132333333333,A22,Sample time: 2023/03/06 10:32 Depth: 2952 ft
-118.377883333333,33.48525,A23,Sample time: 2023/03/06 11:30 Depth: 2952 ft
-118.319366666667,33.45665,A24,Sample time: 2023/03/06 12:30 Depth: 2897 ft
-118.590383333333,33.6176666666667,A28,Sample time: 2023/03/08 12:20 Depth: 2931 ft
